prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,"在app/services/subsidy_service.py中实现补贴发放审批流：当前distribute方法直接创建发放记录，没有审批环节。请改为：创建发放记录时状态为""待发放""，需管理员通过confirm_distribution确认后状态变为""已发放""。确认时需校验：发放金额不超过补贴的total_budget减去已发放金额之和，身份证号格式校验（18位），同一身份证号同一补贴不可重复发放",gpt-5.4,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
1,"在app/services/subsidy_service.py中实现补贴发放审批流：当前distribute方法直接创建发放记录，没有审批环节。请改为：创建发放记录时状态为""待发放""，需管理员通过confirm_distribution确认后状态变为""已发放""。确认时需校验：发放金额不超过补贴的total_budget减去已发放金额之和，身份证号格式校验（18位），同一身份证号同一补贴不可重复发放",gemini-3.1-p,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
1,"在app/services/subsidy_service.py中实现补贴发放审批流：当前distribute方法直接创建发放记录，没有审批环节。请改为：创建发放记录时状态为""待发放""，需管理员通过confirm_distribution确认后状态变为""已发放""。确认时需校验：发放金额不超过补贴的total_budget减去已发放金额之和，身份证号格式校验（18位），同一身份证号同一补贴不可重复发放",DeepSeek-V4-Pro,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
1,"在app/services/subsidy_service.py中实现补贴发放审批流：当前distribute方法直接创建发放记录，没有审批环节。请改为：创建发放记录时状态为""待发放""，需管理员通过confirm_distribution确认后状态变为""已发放""。确认时需校验：发放金额不超过补贴的total_budget减去已发放金额之和，身份证号格式校验（18位），同一身份证号同一补贴不可重复发放",Doubao-Seed-2.0-Code,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
1,"在app/services/subsidy_service.py中实现补贴发放审批流：当前distribute方法直接创建发放记录，没有审批环节。请改为：创建发放记录时状态为""待发放""，需管理员通过confirm_distribution确认后状态变为""已发放""。确认时需校验：发放金额不超过补贴的total_budget减去已发放金额之和，身份证号格式校验（18位），同一身份证号同一补贴不可重复发放",GLM-5.1,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
2,"app/services/land_transfer_service.py存在Bug：create方法未校验土地流转的时间逻辑——end_date必须晚于start_date，且同一地块（land_location相同）在时间重叠期间不可同时存在多个有效的（非""已拒绝""状态）流转记录。请修复这两个校验，并在冲突时返回具体的冲突流转记录信息",gpt-5.4,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
2,"app/services/land_transfer_service.py存在Bug：create方法未校验土地流转的时间逻辑——end_date必须晚于start_date，且同一地块（land_location相同）在时间重叠期间不可同时存在多个有效的（非""已拒绝""状态）流转记录。请修复这两个校验，并在冲突时返回具体的冲突流转记录信息",gemini-3.1-p,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
2,"app/services/land_transfer_service.py存在Bug：create方法未校验土地流转的时间逻辑——end_date必须晚于start_date，且同一地块（land_location相同）在时间重叠期间不可同时存在多个有效的（非""已拒绝""状态）流转记录。请修复这两个校验，并在冲突时返回具体的冲突流转记录信息",DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
2,"app/services/land_transfer_service.py存在Bug：create方法未校验土地流转的时间逻辑——end_date必须晚于start_date，且同一地块（land_location相同）在时间重叠期间不可同时存在多个有效的（非""已拒绝""状态）流转记录。请修复这两个校验，并在冲突时返回具体的冲突流转记录信息",Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
2,"app/services/land_transfer_service.py存在Bug：create方法未校验土地流转的时间逻辑——end_date必须晚于start_date，且同一地块（land_location相同）在时间重叠期间不可同时存在多个有效的（非""已拒绝""状态）流转记录。请修复这两个校验，并在冲突时返回具体的冲突流转记录信息",Qwen3.6-Plus,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
3,"重构app/services/asset_service.py的资产统计逻辑：当前get_category_stats和get_status_stats分别执行两次独立的GROUP BY查询。请合并为一次查询使用GROUP BY category, status，生成二维统计表（行=类别，列=状态，值=数量），同时新增get_asset_value_stats方法按类别统计资产总值。修改dashboard/overview.html将简单计数替换为二维统计表格",gpt-5.4,困难,代码重构,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
3,"重构app/services/asset_service.py的资产统计逻辑：当前get_category_stats和get_status_stats分别执行两次独立的GROUP BY查询。请合并为一次查询使用GROUP BY category, status，生成二维统计表（行=类别，列=状态，值=数量），同时新增get_asset_value_stats方法按类别统计资产总值。修改dashboard/overview.html将简单计数替换为二维统计表格",gemini-3.1-p,困难,代码重构,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
3,"重构app/services/asset_service.py的资产统计逻辑：当前get_category_stats和get_status_stats分别执行两次独立的GROUP BY查询。请合并为一次查询使用GROUP BY category, status，生成二维统计表（行=类别，列=状态，值=数量），同时新增get_asset_value_stats方法按类别统计资产总值。修改dashboard/overview.html将简单计数替换为二维统计表格",DeepSeek-V4-Pro,困难,代码重构,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
3,"重构app/services/asset_service.py的资产统计逻辑：当前get_category_stats和get_status_stats分别执行两次独立的GROUP BY查询。请合并为一次查询使用GROUP BY category, status，生成二维统计表（行=类别，列=状态，值=数量），同时新增get_asset_value_stats方法按类别统计资产总值。修改dashboard/overview.html将简单计数替换为二维统计表格",Doubao-Seed-2.0-Code,困难,代码重构,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
3,"重构app/services/asset_service.py的资产统计逻辑：当前get_category_stats和get_status_stats分别执行两次独立的GROUP BY查询。请合并为一次查询使用GROUP BY category, status，生成二维统计表（行=类别，列=状态，值=数量），同时新增get_asset_value_stats方法按类别统计资产总值。修改dashboard/overview.html将简单计数替换为二维统计表格",GLM-5.1,困难,代码重构,"Python,Flask,SQLAlchemy,SQLite","集体资产,土地流转,惠民补贴,村集体活动,村务公示"
